# Vault Integration Coverage v2 — generated by coverage/_build-tsv.py
# Source: each plan's `## Vault integration (added 2026-04-19)` table
# Columns: plan_file	task_id	insertion_site	vault_slug	status
# Status legend: planned | seeded-inbox | extracted | consumed | verified | ✅ existing | 🟡 seed gap
#
plan_file	task_id	insertion_site	vault_slug	status
04-dashboard.md	Wave 3 Task 3.2 (network preview SVG, E2E-319)	Hover tooltips on each edge in the mini-graph	`<VaultHoverCard topic={edge.protocol}>` — i2c-protocol / spi-protocol / uart-protocol / power-distribution / gpio-conventions	🟡 planned — check vault: most exist under `communication` MOC
04-dashboard.md	Wave 5 Task 5.1 (Blink LED sample data fix, E2E-557)	`server/seeds/sample-projects.ts` — before editing, authoritative seed via vault	`arduino-blink-led-minimal-starter-led-plus-220r-resistor`	🟡 planned — vault gap likely; seed via `/vault-gap`
04-dashboard.md	Wave 6 Task 6.1 (Color-only severity, E2E-323)	ValidationCard badge	`wcag-2-1-sc-1-4-1-color-cannot-be-sole-channel`	✅ seeded-inbox (Plan 03 Wave 10.2)
04-dashboard.md	Wave 1 Task 1.3 (TrustReceipt consumption, E2E-315)	Dashboard contradictions fixed via TrustReceipt from 16	confidence-evaluator-structured-signals-schema	🟡 planned
05-architecture.md	Wave 1 Task 1.1b (Asset Library part tooltips)	Each asset card → hover shows pin summary + caveats	Per-part slug (e.g. `bme280-humidity-pressure-sensor-i2c-interface`, `esp32-s3-wroom-1-mcu-with-wifi`)	🟡 mostly exists in `components`/`microcontrollers`/`sensors` MOCs — inventory via `/vault-suggest-for-plan`
05-architecture.md	Wave 3 Task 3.5 (AI wire-from-suggest, E2E-788)	`/api/arch/suggest-edges` prompt — `buildVaultContext` already on; ensure used	`bus-suggestions-i2c-spi-uart-when-to-use` (per-bus)	🟡 seed gap per bus type
05-architecture.md	Wave 5 Task 5.5 (Try-alternate component, E2E-801)	Delta panel "Why this alternate?"	Per-alternate reasoning slug	🟡 planned — consumption pattern
05-architecture.md	Wave 5 Task 5.9 (Architecture lints, E2E-842)	Each arch-lint rule has a `vaultSlug`	E.g. `every-mcu-needs-decoupling-cap-on-vcc-linting-rule`, `power-chain-hop-limit-4-architectural-pattern`	🟡 seed gaps
05-architecture.md	Wave 5 Task 5.11 (AI critique "Dr. Kirchhoff", E2E-805)	Critique prompt pre-injection	`architecture-review-critique-checklist-for-hobbyist-grade-iot-boards`	🟡 seed gap
06-schematic.md	Wave 2 Task 2.2 (Net-name autocomplete, E2E-876)	Net-name Combobox suggestion list	`power-net-naming-conventions-vcc-vdd-vbat-vin` + `ground-net-conventions-gnd-agnd-dgnd-pgnd` + `signal-net-naming-sda-scl-mosi-tx-rx`	🟡 first two may exist in `communication` MOC; third likely seed gap
06-schematic.md	Wave 2 Task 2.7 (Live ERC, E2E-896)	Each ERC rule has `vaultSlug`; "Why?" button → VaultExplainer	Per-rule (shared with 11-validation-simulation's DRC registry pattern)	🟡 seed gaps per rule
06-schematic.md	Wave 5 Task 5.1 (Power-symbol annotation, E2E-947)	VCC/GND pin renderer	`ieee-315-iec-60617-power-symbol-glyphs-for-schematic`	🟡 seed gap
